codigoPr,nombre,estado,telefono
0599632569,"Water - Spring Water, 355 Ml",Texas,713-753-3877
9747387379,Wine - Jafflin Bourgongone,Virginia,804-776-3450
4973276510,Milk - Chocolate 250 Ml,Illinois,217-296-2238
5908375292,Thyme - Dried,Texas,512-224-5816
4657971271,Skirt - 24 Foot,Ohio,513-376-6619
5293582844,Veal - Leg,Vermont,802-495-2062
8457799592,Vinegar - Sherry,New York,516-506-4388
9254261424,Bread - 10 Grain,Oklahoma,405-605-2820
3991204444,Pork - Sausage Casing,California,213-202-5918
2026440794,Oneshot Automatic Soap System,New Jersey,862-629-5363
4984639997,Cumin - Ground,Mississippi,228-933-0848
1314078372,"Chilli Paste, Ginger Garlic",South Carolina,843-167-6659
1531305318,Bread - Raisin Walnut Pull,Florida,786-749-6439
8001456439,Tahini Paste,District of Columbia,202-326-8918
8697902525,Chocolate Bar - Reese Pieces,Texas,281-973-2305
9586629651,Star Fruit,Texas,281-802-1766
8592511445,Barley - Pearl,New Hampshire,603-891-2229
0514831979,"Stock - Chicken, White",Iowa,712-705-7553
8372061033,Blouse / Shirt / Sweater,Florida,305-880-0986
2520076062,Dr. Pepper - 355ml,Missouri,816-852-1561
2305939442,Lychee,Oklahoma,918-255-9511
8095164135,Pear - Packum,Alabama,251-676-1490
5305319617,Bread - Frozen Basket Variety,California,909-255-2892
9862440597,Sprouts Dikon,Illinois,312-117-5718
5413925263,Chick Peas - Dried,Minnesota,507-810-9363
8983009160,French Kiss Vanilla,Indiana,765-303-0605
0732566924,Turnip - Wax,Arizona,480-723-3361
8380798805,Snails - Large Canned,California,213-895-1290
3585982646,Cheese - Gorgonzola,Pennsylvania,215-891-2554
7009264090,Cake - Lemon Chiffon,Texas,713-716-2006
0867563346,Table Cloth 62x114 Colour,Maryland,240-509-4450
5480987542,"Mop Head - Cotton, 24 Oz",Nevada,702-491-1394
2050888694,Kolrabi,Texas,361-464-5857
5107292283,Rappini - Andy Boy,Texas,915-528-4120
9874148721,Figs,Georgia,770-127-1469
7610020001,Muffin Mix - Blueberry,New Jersey,908-489-0676
7717138093,Shrimp - Tiger 21/25,Pennsylvania,215-550-0125
5200050847,"Shrimp - 16/20, Iqf, Shell On",Alaska,907-676-2506
7233130280,Mushroom - Porcini Frozen,North Carolina,704-315-0015
1308560583,Wasabi Paste,California,805-533-1963
0919140939,Container Clear 8 Oz,California,949-718-6465
7448325140,Plasticforkblack,Colorado,303-987-5716
3918114007,Tuna - Yellowfin,Nevada,775-815-0480
0588050504,Coffee Beans - Chocolate,Indiana,812-769-3889
5170291035,Bagel - Everything,Michigan,269-665-2134
5921365874,Nut - Pumpkin Seeds,Wisconsin,414-444-6769
1240809816,Nantucket - 518ml,Pennsylvania,610-847-8682
3382053802,Cookies - Amaretto,Arizona,602-207-2594
8023927787,"Wine - Red, Antinori Santa",Ohio,419-483-0329
8232715960,Mayonnaise - Individual Pkg,California,213-644-7193
2453687921,Cheese - Cambozola,Washington,425-697-1054
7329168866,Sour Puss - Tangerine,Illinois,815-101-5178
7365001615,Flour - Teff,Illinois,773-219-2025
